"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL","AREA_SWEPT_HA","DURATION_HR","DISTANCE_FISHED_KM"
56.662,-171.33117,"F-23",61,1982,"09-JUL-1982 08:00AM",119,3.8,6.6,19,106,4324,4.6013,0.5,2.722
56.674,-171.9685,"F-24",61,1982,"09-JUL-1982 06:00AM",130,4.1,6.3,1,80,990,4.5612,0.5,2.648
56.67933,-172.6305,"F-25",61,1982,"13-JUL-1982 07:00PM",139,4,7.2,19,106,4343,4.3511,0.5,2.574
56.988,-167.71483,"G-01",31,1982,"01-JUL-1982 08:00AM",77,3.3,6.8,19,106,4286,4.5535,0.5,2.797
57.00833,-167.08167,"G-02",31,1982,"29-JUN-1982 03:00PM",77,3,6.5,1,80,944,4.3122,0.5,2.574
56.97717,-166.46133,"G-03",31,1982,"27-JUN-1982 10:00AM",73,2.1,6.2,19,106,4267,4.4902,0.5,2.871
57.01167,-165.85833,"G-04",31,1982,"17-JUN-1982 02:00PM",75,1.7,6.2,1,80,916,4.2424,0.5,2.537
57.018,-165.21617,"G-05",31,1982,"20-JUN-1982 12:00PM",70,0.1,5.3,19,106,4254,5.1129,0.5,3.111
56.99,-164.605,"G-06",31,1982,"13-JUN-1982 08:00PM",73,0.2,4.9,1,80,900,4.654,0.5,2.778
57.001,-163.99417,"G-07",31,1982,"17-JUN-1982 06:00PM",68,-0.2,6.5,19,106,4238,5.2658,0.5,3.204
57.01667,-163.395,"G-08",31,1982,"11-JUN-1982 12:00PM",70,0.5,3.1,1,80,888,4.6078,0.5,2.759
57.01783,-162.7815,"G-09",31,1982,"15-JUN-1982 08:00PM",60,-0.5,5.5,19,106,4227,4.8512,0.5,3.019
56.99333,-162.17333,"G-10",31,1982,"08-JUN-1982 04:00PM",62,0.1,3.5,1,80,877,4.2021,0.5,2.556
56.98617,-161.5835,"G-11",31,1982,"14-JUN-1982 08:00AM",70,0.7,4.7,19,106,4216,4.9991,0.5,3.111
